,Name,Name2,Bedrooms,Price
0,Private room in Windsor,Private BR W/ Spectacular River View Near UWin,Cozy Private BR in a basement/queen bed+free Wifi🎖,64
1,Private room in Windsor,The second room is beautiful!!!,The second room is beautiful!!!,54
2,Bungalow in Windsor,Heart of East Windsor,"Exclusive Boutique Hotel, Private 1 Bedroom Suite",92
3,Private room in Windsor,The fourth room is beautiful !!!,The fourth room is beautiful !!!,54
4,Private room in Windsor,Cozy Private BR in a basement/queen bed+free Wifi🎖,Year Round Hot Tub at The Gem!,75
5,Home in Windsor,"Couple's Romantic Retreat with hot tub, fire pit.",Professionals Favorite Place,322
6,Home in Windsor,Stylish Suite Near Waterfront & Downtown,"Couple's Romantic Retreat with hot tub, fire pit.",176
7,Private room in Windsor,Private BR W/ Spectacular River View Near UWindsor,Private BR W/ Spectacular River View Near UWindsor,64
8,Cottage in Windsor,"Serene, Cozy Cottage on the water.",Stylish Suite Near Waterfront & Downtown,195
9,Cottage in Lakeshore,Lake House on Lake St Clair,Private Master Room Windsor,165
10,Private room in Windsor,Private Master Room Windsor,"Serene, Cozy Cottage on the water.",74
11,Loft in Windsor,Charming Erie loft in the heart of Little Italy,Charming Erie loft in the heart of Little Italy,232
12,Private room in Windsor,1 Private room | 2 guests max,Lake House on Lake St Clair,52
13,Guest suite in Windsor,Spacious 1 Bedroom Walkout Basement Unit,1 Private room | 2 guests max,111
14,Private room in Windsor,King Bedroom in a newly built house,King Bedroom in a newly built house,66
15,Private room in Windsor,Cheerful Townhouse in heart of Walkerville,Spacious 1 Bedroom Walkout Basement Unit,92
16,Private room in Windsor,Studio in Trendy & Walkable Olde Walkerville,Cheerful Townhouse in heart of Walkerville,90
17,Villa in Windsor,Cheerful 4-bedroom home by the river.,Studio in Trendy & Walkable Olde Walkerville,279
18,Private room in Windsor,Private BR W/ Spectacular River View Near UWin,Cozy Private BR in a basement/queen bed+free Wifi🎖,64
19,Private room in Windsor,The second room is beautiful!!!,The second room is beautiful!!!,54
20,Bungalow in Windsor,Heart of East Windsor,"Exclusive Boutique Hotel, Private 1 Bedroom Suite",92
21,Private room in Windsor,The fourth room is beautiful !!!,The fourth room is beautiful !!!,54
22,Private room in Windsor,Cozy Private BR in a basement/queen bed+free Wifi🎖,Year Round Hot Tub at The Gem!,75
23,Home in Windsor,"Couple's Romantic Retreat with hot tub, fire pit.",Professionals Favorite Place,322
24,Home in Windsor,Stylish Suite Near Waterfront & Downtown,"Couple's Romantic Retreat with hot tub, fire pit.",176
25,Private room in Windsor,Private BR W/ Spectacular River View Near UWindsor,Private BR W/ Spectacular River View Near UWindsor,64
26,Cottage in Windsor,"Serene, Cozy Cottage on the water.",Stylish Suite Near Waterfront & Downtown,195
27,Cottage in Lakeshore,Lake House on Lake St Clair,Private Master Room Windsor,165
28,Private room in Windsor,Private Master Room Windsor,"Serene, Cozy Cottage on the water.",74
29,Loft in Windsor,Charming Erie loft in the heart of Little Italy,Charming Erie loft in the heart of Little Italy,232
30,Private room in Windsor,1 Private room | 2 guests max,Lake House on Lake St Clair,52
31,Guest suite in Windsor,Spacious 1 Bedroom Walkout Basement Unit,1 Private room | 2 guests max,111
32,Private room in Windsor,King Bedroom in a newly built house,King Bedroom in a newly built house,66
33,Private room in Windsor,Cheerful Townhouse in heart of Walkerville,Spacious 1 Bedroom Walkout Basement Unit,92
34,Private room in Windsor,Studio in Trendy & Walkable Olde Walkerville,Cheerful Townhouse in heart of Walkerville,90
35,Villa in Windsor,Cheerful 4-bedroom home by the river.,Studio in Trendy & Walkable Olde Walkerville,279
36,Private room in Windsor,Private BR W/ Spectacular River View Near UWin,Cozy Private BR in a basement/queen bed+free Wifi🎖,64
37,Private room in Windsor,The second room is beautiful!!!,The second room is beautiful!!!,54
38,Bungalow in Windsor,Heart of East Windsor,"Exclusive Boutique Hotel, Private 1 Bedroom Suite",92
39,Private room in Windsor,The fourth room is beautiful !!!,The fourth room is beautiful !!!,54
40,Private room in Windsor,Cozy Private BR in a basement/queen bed+free Wifi🎖,Year Round Hot Tub at The Gem!,75
41,Home in Windsor,"Couple's Romantic Retreat with hot tub, fire pit.",Professionals Favorite Place,322
42,Home in Windsor,Stylish Suite Near Waterfront & Downtown,"Couple's Romantic Retreat with hot tub, fire pit.",176
43,Private room in Windsor,Private BR W/ Spectacular River View Near UWindsor,Private BR W/ Spectacular River View Near UWindsor,64
